admin	bioapps	0.6.0	/agua/0.6/bioapps	jbrowseFeatures	view	tempdir	0	0	input	tempdir	integer	--tempdir		optional		Use this temporary directory to write data on execution host			
admin	bioapps	0.6.0	/agua/0.6/bioapps	jbrowseFeatures	view	species	0	0	input	species	string	--species	human	required		Reference species (e.g., human, mouse, rat)			
admin	bioapps	0.6.0	/agua/0.6/bioapps	jbrowseFeatures	view	sleep	0	0	input	sleep	integer	--sleep		optional		Length of sleep in seconds between queue polls (default: 5)			
admin	bioapps	0.6.0	/agua/0.6/bioapps	jbrowseFeatures	view	maxjobs	0	0	input	maxjobs	integer	--maxjobs		optional		Maximum number of jobs to be running or queued concurrently (default: 100)			
admin	bioapps	0.6.0	/agua/0.6/bioapps	jbrowseFeatures	view	jbrowse	0	0	input	jbrowse	string	--jbrowse		optional		Location of JBrowse installation (default: JBROWSE key value in default.conf file.)			
admin	bioapps	0.6.0	/agua/0.6/bioapps	jbrowseFeatures	view	key	0	0	input	key	string	--key		required		Key for features in JBrowse	input.label.value		
admin	bioapps	0.6.0	/agua/0.6/bioapps	jbrowseFeatures	view	label	0	0	input	label	string	--label		required		Label for experiment (e.g., bowtie)	input.label.value		
admin	bioapps	0.6.0	/agua/0.6/bioapps	jbrowseFeatures	view	filetype	0	0	input	filetype	string	--filetype	bam	required		Type of input file (bam or gff)			
admin	bioapps	0.6.0	/agua/0.6/bioapps	jbrowseFeatures	view	inputdir	0	0	input	inputdir	directory	--inputdir	%project%/%workflow%	essential		Directory with chromosome subdirs containing input files. JBrowse output files will be printed to subdirs	input.outputdir.value,output.outputdir.value	outdir1,outdir2	if ( outdir1 != null && outdir1 !=  ) return outdir1; if ( outdir2 != null && outdir2 !=  ) return outdir2;
admin	bioapps	0.6.0	/agua/0.6/bioapps	jbrowseFeatures	view	filename	0	0	input	filename	string	--filename	out.bam	required		Name of input file. If not defined, the application will process all files in the inputdir.	output.hits.value,input	hits,inputs	if ( hits != null && hits !=  ) { return hits.match(/([^\\/]+)$/)[1]; } for ( var i = 0; i < inputs.length; i++) { if ( inputs[i].value.match(/([^/]+.bam)$/) ) { return inputs[i].value.match(/([^/]+.bam)$/)[1]; }}
admin	bioapps	0.6.0	/agua/0.6/bioapps	jbrowseFeatures	view	build	0	0	input	build	string	--build	hg19	required		Reference species build (e.g., hg19, mm9, rn4)			
admin	bioapps	0.6.0	/agua/0.6/bioapps	jbrowseFeatures	view	cpus	0	0	input	cpus	integer	--cpus		optional		Number of cpus per job			
admin	bioapps	0.6.0	/agua/0.6/bioapps	createRefDirs	utility	referencedir	1	0	output		directory					Output reference directory containing per-chromosome subdirs with (linked) chromosome sequence files.	input.outputdir.value		
admin	bioapps	0.6.0	/agua/0.6/bioapps	createRefDirs	utility	regex	1	0	input	regex	string	--regex		optional		Regular expression to identify chromosome files (Default: .fa)	input.regex.value		
admin	bioapps	0.6.0	/agua/0.6/bioapps	createRefDirs	utility	outputdir	1	0	input	referencedir	directory	--outputdir		required		Create subdirs in this directory containing links to reference files	input.referencedir.value,input.inputdir.value,input.outputdir.value	referencedir,inputdir,outputdir              	if ( referencedir != null && referencedir != ) return referencedir; if ( inputdir != null && inputdir != ) return inputdir; if ( outputdir != null && outputdir != ) return outputdir;
admin	bioapps	0.6.0	/agua/0.6/bioapps	FTP	utility	url	0	0	input	url	string	--url		required		Download files linked on this page			
admin	bioapps	0.6.0	/agua/0.6/bioapps	createRefDirs	utility	inputdir	1	0	input	inputdir	directory	--inputdir		essential		Directory containing reference sequence files	input.referencedir.value,input.inputdir.value,input.outputdir.value	referencedir,inputdir,outputdir              	if ( referencedir != null && referencedir != ) return referencedir; if ( inputdir != null && inputdir != ) return inputdir; if ( outputdir != null && outputdir != ) return outputdir;
admin	bioapps	0.6.0	/agua/0.6/bioapps	FTP	utility	type	0	0	input	type	string	--type		essential		Type of page: html or text			
admin	bioapps	0.6.0	/agua/0.6/bioapps	FTP	utility	regex	0	0	input	regex	string	--regex	chr[XYM0-9]+.fa.gz	optional		Download files matching this regular expression			
admin	bioapps	0.6.0	/agua/0.6/bioapps	FTP	utility	outputdir	0	0	input	outputdir	directory	--outputdir	%project%/%workflow%/downloads	required		Create this directory and download files to it			
admin	bioapps	0.6.0	/agua/0.6/bioapps	FTP	utility	filter	0	0	input	filter	string	--filter		optional		Download only files containing this text fragment			
