1280	11	25852
1281	11	25853
1282	11	25854
1283	11	25855
1284	11	25856
1	12	23342
2	12	23343
3	12	23344
4	13	23242
5	13	23243
6	13	23345
7	14	23410
8	14	23411
9	14	23985
10	14	24810
11	14	24811
12	15	23649
13	15	23738
14	15	23739
15	16	23978
16	17	23034
17	17	23035
18	17	23036
19	18	23646
20	18	23647
21	18	23648
22	19	23743
23	19	23744
24	19	23745
25	20	23375
26	20	23434
27	20	23435
28	20	24879
29	20	24880
30	20	24881
31	21	23437
32	22	23436
33	23	22980
34	23	22981
35	23	22982
1247	24	26176
1248	24	26177
1249	24	26178
36	25	23376
37	25	23377
38	25	23938
840	27	24892
841	27	24893
842	27	24894
843	27	24895
844	27	24896
845	27	24897
1250	28	26179
1251	28	26180
1252	28	26181
39	29	23979
1203	30	26068
1204	30	26069
1205	30	26070
1206	31	26027
1207	31	26028
1208	31	26029
1209	32	26024
1210	32	26025
1211	32	26026
1212	33	26030
1213	33	26031
1214	33	26064
1215	34	26065
1216	34	26066
1217	34	26067
40	35	24114
41	35	24115
42	35	24116
43	35	24117
44	35	24118
45	36	23980
46	36	23981
47	36	23982
48	36	24574
49	36	24575
50	36	24576
1218	37	26058
1219	37	26059
1220	37	26060
51	38	22975
52	38	22976
53	38	22977
54	38	23178
55	38	23179
56	39	23983
57	39	23984
58	39	24571
59	39	24572
60	39	24573
1221	40	26061
1222	40	26062
1223	40	26063
61	41	23650
62	41	23651
63	41	24119
64	41	24120
65	41	24121
66	43	23652
67	43	23653
68	43	23654
69	43	23655
70	43	23656
71	44	23753
72	44	23778
73	44	23779
74	44	23780
75	46	23373
76	46	23374
77	47	23953
78	48	23948
79	49	23950
80	49	23951
81	49	23952
82	50	23949
83	51	23910
84	51	23911
85	51	23912
86	52	23913
87	52	23946
88	52	23947
846	53	24716
847	53	24717
848	53	24718
849	53	24719
850	53	24720
851	53	24721
89	54	24715
90	54	24826
91	54	24827
92	54	24828
93	54	24829
94	54	24830
1506	55	23253
1507	55	23254
1508	55	23729
1509	55	23746
1510	55	23747
1511	55	23748
1512	55	23749
1513	55	23750
1514	55	23751
1515	55	23752
1674	56	23721
1517	57	23898
116	58	23720
1518	59	23258
1519	59	23717
1520	59	24256
122	60	24107
123	60	24108
124	60	24109
125	61	23904
126	61	23905
127	61	24106
128	62	23412
129	62	23413
130	62	23414
131	62	23415
132	62	23416
133	62	23417
134	63	23902
135	63	23903
1521	64	24110
138	66	23438
139	66	23439
140	66	23440
141	67	24112
142	70	23899
143	71	23900
144	71	23901
1522	72	23537
1523	72	24111
149	73	24002
150	73	24003
151	73	24004
152	74	23866
153	74	23867
154	74	23868
155	74	23869
156	74	23897
157	75	23776
158	75	23777
159	76	23874
160	77	23893
161	77	23894
162	77	23895
163	78	23875
164	79	24001
165	80	24000
166	81	23940
167	81	23941
168	81	23942
169	82	23939
170	83	23626
171	83	23627
172	83	23628
173	83	23629
1524	84	23896
179	85	23630
180	85	23631
181	85	23632
182	85	23633
183	86	23890
184	86	23891
185	86	23892
186	87	23386
187	87	23387
188	87	23388
189	87	23389
190	88	23390
191	88	23391
192	88	23392
193	88	23393
194	89	23943
195	89	23944
196	89	23945
1827	90	26782
1828	90	26783
1829	90	26784
1525	91	23909
467	92	23458
468	92	23459
469	92	23460
470	92	23461
471	92	23462
472	92	23665
473	93	23455
474	93	23456
475	93	23457
476	93	23522
477	93	23523
478	93	23524
479	94	23525
480	94	23526
481	94	23527
482	94	23528
483	94	23529
484	94	23658
485	95	23659
486	95	23660
487	95	23661
488	95	23662
489	95	23663
490	95	23664
200	96	23634
201	96	23635
202	96	23694
203	96	23695
204	96	23696
205	96	23697
206	97	23482
207	97	23483
208	97	23484
209	97	23485
210	97	23486
211	97	23487
212	98	23488
213	98	23489
214	98	23690
215	98	23691
216	98	23692
217	98	23693
491	99	23463
492	99	23464
493	99	23465
494	99	23826
495	99	23827
496	99	23828
218	100	23870
219	101	23871
220	101	23872
221	101	23873
222	102	23922
223	102	23968
224	102	23969
225	103	23954
226	103	23955
227	103	23956
1224	104	26056
1225	104	26057
1226	104	26071
497	105	25141
3231	105	32291
3232	105	32292
228	106	23963
229	106	23964
230	106	23965
231	107	23500
232	107	23501
233	107	23502
234	107	24842
235	107	24843
236	107	24844
237	108	23957
238	108	23958
239	108	23959
240	109	23994
241	109	23995
242	109	23996
243	110	23923
244	110	23924
245	110	23925
246	111	23970
247	111	23971
248	111	23972
249	112	23926
250	113	24007
498	114	25121
251	115	23503
252	116	23960
253	116	23961
254	117	23966
255	117	23967
256	118	24005
257	118	24006
258	119	23907
259	119	23908
260	120	23498
261	120	23499
262	120	24808
263	120	24809
