1	1	1054	1		36	\N	\N	2012-07-14 18:58:56	_10.14.152.89	
2	1	1054	1		45	\N	\N	2012-07-14 19:00:32	_10.14.152.89	
3	1	1054	1	blad	45	\N	\N	2012-07-14 19:00:46	_10.14.152.89	
4	1	1054	1	blad more	45	\N	\N	2012-07-14 19:00:56	_10.14.152.89	
5	1	1054	1	blad more ffff	34	\N	\N	2012-07-14 19:07:16	pedro_10.14.152.89	
6	1	1054	1	blad more ffff	40	\N	\N	2012-07-14 19:15:48	maxxx_10.14.152.89	
7	1	1054	1	eat more grain	40	\N	\N	2012-07-14 19:18:21	hello_10.14.152.89	
8	2	1180	1	hello	49	\N	\N	2012-07-17 21:37:19	pedro_10.14.152.89	
9	1	1054	1	eat more grain	40	\N	\N	2012-07-14 19:19:25	_10.14.152.89	
10	1	1054	1	eat more grain	40	\N	\N	2012-07-17 23:15:10	Pedro_10.12.113.108	
11	3	1054	2		45	\N	\N	2012-07-17 23:15:10	Pedro_10.12.113.108	
12	1	1054	1	eat more grain	40	\N	\N	2012-07-17 23:15:40	pcruz_10.12.113.108	
13	3	1054	2	hhhhrrr	45	\N	\N	2012-07-17 23:15:40	pcruz_10.12.113.108	
14	1	913	7	zero tiles after trimming	42	\N	\N	2012-07-20 20:30:04	autobot_uscp-prd-lndt-1-2.local	
15	661	942	7	zero tiles after trimming	42	\N	\N	2012-07-23 23:40:39	autobot_uscp-prd-lndt-1-2.local	
16	2	954	5	zero tiles after trimming	42	\N	\N	2012-07-20 20:30:04	autobot_uscp-prd-lndt-1-2.local	
17	3	970	8	zero tiles after trimming	42	\N	\N	2012-07-20 20:30:04	autobot_uscp-prd-lndt-1-2.local	
18	4	992	1	zero tiles after trimming	42	\N	\N	2012-07-20 20:30:04	autobot_uscp-prd-lndt-1-2.local	
19	5	992	3	zero tiles after trimming	42	\N	\N	2012-07-20 20:30:04	autobot_uscp-prd-lndt-1-2.local	
20	6	1003	2	zero tiles after trimming	42	\N	\N	2012-07-20 20:30:04	autobot_uscp-prd-lndt-1-2.local	
21	7	1007	4	zero tiles after trimming	42	\N	\N	2012-07-20 20:30:04	autobot_uscp-prd-lndt-1-2.local	
22	8	1007	5	zero tiles after trimming	42	\N	\N	2012-07-20 20:30:04	autobot_uscp-prd-lndt-1-2.local	
23	9	1007	6	zero tiles after trimming	42	\N	\N	2012-07-20 20:30:04	autobot_uscp-prd-lndt-1-2.local	
24	10	1007	7	zero tiles after trimming	42	\N	\N	2012-07-20 20:30:04	autobot_uscp-prd-lndt-1-2.local	
25	11	1007	8	zero tiles after trimming	42	\N	\N	2012-07-20 20:30:04	autobot_uscp-prd-lndt-1-2.local	
26	12	1014	1	zero tiles after trimming	42	\N	\N	2012-07-20 20:30:04	autobot_uscp-prd-lndt-1-2.local	
