1	3	2012-10-11	2012-10-11 23:06:15	4	4377	59	_10.14.152.89	DCT	\N	\N
2	3	2012-10-11	2012-10-11 23:06:15	3	4377	19	pcruz	UCT	\N	\N
3	3	2012-10-11	2012-10-11 23:06:15	5	4377	71		lirabry_prep	\N	\N
4	3	2012-10-11	2012-10-11 23:06:15	1	4377	71	pcruz	lirabry_prep	\N	\N
5	3	2012-10-11	2012-10-11 23:06:15	1	4377	19		lirabry_prep	\N	\N
6	3	2012-10-11	2012-10-11 23:06:15	1	4377	71		lirabry_prep	\N	\N
7	3	2012-10-11	2012-10-11 23:06:15	1	4377	19		lirabry_prep	\N	\N
8	3	2012-10-11	2012-10-11 23:06:15	1	4377	74		lirabry_prep	\N	\N
9	3	2012-10-11	2012-10-11 23:06:15	1	4377	74	sdafdsaf	lirabry_prep	\N	\N
10	3	2012-10-11	2012-10-11 23:06:15	1	4377	74		lirabry_prep	safdasdfds	\N
11	3	2012-10-11	2012-10-11 23:06:15	3	4377	71	asfdSKJFGB	DCT	SDFLKSNDALKFNsafdasdfds	\N
12	3	2012-10-11	2012-10-11 23:06:15	3	4377	19		DCT	SDFLKSNDALKFNsafdasdfds	\N
13	3	2012-10-11	2012-10-11 23:06:15	3	4377	74		DCT	SDFLKSNDALKFNsafdasdfds	\N
14	5	2012-10-11	2012-10-12 00:39:57	5	4377	59	lkm\'lm_10.14.152.89	libraryPrep	\N	\N
15	11	2012-10-16	2012-10-16 10:40:58	5	3922	59	pcruz_192.168.180.223	DCT	\N	\N
16	44	2012-10-17	2012-10-17 16:28:18	5	4533	59	pcruz_10.14.152.89	libraryPrep	\N	\N
17	11	2012-10-16	2012-10-16 10:40:58	5	3922	59		DCT	\N	\N
18	12	2012-10-16	2012-10-16 16:14:05	2	6354	59	kim_10.12.112.252	DCT	\N	\N
19	13	2012-10-16	2012-10-16 16:19:32	3	6355	59	kim_10.12.112.252	DCT	\N	\N
20	14	2012-10-16	2012-10-16 20:17:18	3	3985	59	pcruz_10.14.152.89	DCT	\N	\N
21	15	2012-10-16	2012-10-16 20:43:35	3	4014	59	pcruz_10.14.152.89	DCT	\N	\N
22	16	2012-10-16	2012-10-16 20:45:09	1	3387	59	bsickler_10.14.152.110	DCT	\N	\N
23	21	2012-10-16	2012-10-16 21:20:01	1	4525	59	pcruz_10.14.152.89	DCT	\N	\N
24	22	2012-10-16	2012-10-16 21:21:21	1	4526	59	pcruz_10.14.152.89	DCT	\N	\N
25	24	2012-10-16	2012-10-16 21:44:18	3	3431	59	Kan_10.14.152.48	DCT	\N	\N
26	26	2012-10-16	2012-10-16 22:20:12	1	4457	59	Kan_10.14.152.48	DCT	\N	\N
27	28	2012-10-16	2012-10-16 22:59:09	2	3469	59	Kan_10.14.152.48	DCT	\N	\N
28	31	2012-10-16	2012-10-16 23:51:01	2	2935	59	_10.14.152.48	DCT	\N	\N
29	39	2012-10-16	2012-10-17 00:24:00	2	3031	59	Kan_10.14.152.48	DCT	\N	\N
30	40	2012-10-16	2012-10-17 00:26:01	1	3039	59	Kan_10.14.152.48	DCT	\N	\N
31	47	2012-10-17	2012-10-17 18:41:56	1	6345	59	pcruz_10.14.152.89	DCT	\N	\N
32	48	2012-10-17	2012-10-17 18:45:28	1	6352	59	kviaud_10.14.152.41	DCT	\N	\N
